,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
0,0.0,0.0,14510000.0,90.07385768999998,0.0,0.732,1.4454145397146498,1.0,1.7941199318911686e+17,1.2087525152161382e-10
1,1.2720819528179121e+23,6960000.0,14510000.0,90.07385768999998,2.1980770023579838e+24,0.732,1.4454145397146498,0.0,1.7941199318911686e+17,1.2087525152161382e-10
2,1.0176655068275897e+24,13920000.0,14509992.925672779,90.07384647666069,1.758459471387425e+25,0.732,1.4454161934878451,0.0,1.794118833820101e+17,1.2087493182959428e-10
3,3.434620026215116e+24,20880000.0,14509985.851327578,90.07378013468937,5.93478587146649e+25,0.732,1.4454172074333393,0.0,1.794116637678359e+17,1.2087453815812626e-10
4,8.141317172795096e+24,27840000.0,14509971.70268693,90.07370257921295,1.4067588280436113e+26,0.732,1.4454198751516039,0.0,1.7941133434691882e+17,1.208738248013752e-10
5,1.590099800723283e+25,34800000.0,14509957.554007685,90.07356989534068,2.7475623101011334e+26,0.732,1.4454219030517828,0.0,1.7941089511964336e+17,1.2087303746972987e-10
6,2.7476897545027727e+25,41760000.0,14509936.3311102,90.07342599770534,4.747758596044296e+26,0.732,1.445425584719107,0.0,1.7941034608677546e+17,1.2087193046733387e-10
7,4.363224307008969e+25,48720000.0,14509915.108148996,90.0732269721447,7.539209591316659e+26,0.732,1.445428626582205,0.0,1.7940968724903418e+17,1.20870749498259e-10
8,6.513025244822702e+25,55680000.0,14509886.81109232,90.07301673246488,1.1253767964543005e+27,0.732,1.445433322201524,0.0,1.7940891860762714e+17,1.208692488807583e-10
9,9.27341324408034e+25,62640000.0,14509858.513942333,90.07275136556473,1.6023275568083885e+27,0.732,1.445437378034713,0.0,1.794080401636081e+17,1.2086767430845612e-10
10,1.2720707701815727e+26,69600000.0,14509823.142865207,90.07247478409131,2.1979561858929424e+27,0.732,1.4454430876078974,0.0,1.7940705191862634e+17,1.208657801178441e-10
11,1.693122656734021e+26,76560000.0,14509787.771660704,90.07214307633687,2.925444231963999e+27,0.732,1.4454481574172844,0.0,1.7940595387407027e+17,1.208638119879689e-10
12,2.198128617357233e+26,83520000.0,14509745.32674296,90.07180015345699,3.797971687982597e+27,0.732,1.4454548809451384,0.0,1.7940474603203094e+17,1.2086152427768878e-10
13,2.794720106844016e+26,90480000.0,14509702.881659305,90.07140210546984,4.828716833756271e+27,0.732,1.4454609647357648,0.0,1.794034283942314e+17,1.2085916264734343e-10
14,3.490528384619168e+26,97440000.0,14509653.363121863,90.0709928417071,6.030856078161936e+27,0.732,1.445468702218029,0.0,1.7940200096320432e+17,1.2085648148228452e-10
15,4.2931844978829056e+26,104400000.0,14509603.844375508,90.07052845424525,7.417563801342795e+27,0.732,1.4454757999938712,0.0,1.794004637410074e+17,1.2085372642001623e-10
16,5.2103192647390947e+26,111360000.0,14509547.252480375,90.07005285025964,9.002012197023249e+27,0.732,1.445484551429221,0.0,1.79398816730615e+17,1.2085065187650877e-10
17,6.249563257343004e+26,118320000.0,14509490.660328856,90.06952212421751,1.0797371114768365e+28,0.732,1.4454926631931908,0.0,1.7939705993441946e+17,1.208475034623036e-10
18,7.418546785025687e+26,125280000.0,14509426.99537911,90.06898018080554,1.2816807902408754e+28,0.732,1.4455024285792373,0.0,1.7939519335583674e+17,1.2084403562811272e-10
19,8.724899877447368e+26,132240000.0,14509363.33012104,90.06838311721405,1.5073487248368923e+28,0.732,1.4455115543331831,0.0,1.793932169975938e+17,1.2084049395338965e-10
20,1.0176252267716761e+27,139200000.0,14509292.592460833,90.06777483530881,1.7580571024220855e+28,0.732,1.4455223336664758,0.0,1.7939113086354822e+17,1.208366329277089e-10
21,1.1780233375551544e+27,146160000.0,14509221.854435893,90.06711143533545,2.0351218127086716e+28,0.732,1.4455324734111832,0.0,1.7938893495676154e+17,1.2083269809531238e-10
22,1.354447229039125e+27,153120000.0,14509144.044450428,90.06643681600666,2.339858432234072e+28,0.732,1.4455442666872096,0.0,1.793866292815329e+17,1.2082844398875574e-10
23,1.547659775456647e+27,160080000.0,14509066.234039357,90.06570708095553,2.6735822086090817e+28,0.732,1.4455554204224024,0.0,1.7938421384125843e+17,1.2082411611294815e-10
24,1.758423814640375e+27,167040000.0,14508981.352154888,90.06496612540955,3.0376080448049183e+28,0.732,1.4455682276355892,0.0,1.793816886406788e+17,1.208194690475415e-10
25,1.987502146340536e+27,174000000.0,14508896.469779473,90.06417005672147,3.433250483409673e+28,0.732,1.4455803953599307,0.0,1.7937905368352464e+17,1.208147482539938e-10
26,2.2356575305344444e+27,180960000.0,14508804.516463293,90.06336276630152,3.8618236909343363e+28,0.732,1.4455942165036446,0.0,1.793763089749781e+17,1.2080970836316624e-10
27,2.503652685745735e+27,187920000.0,14508712.562586356,90.06250036555407,4.32464144207783e+28,0.732,1.4456073982147388,0.0,1.7937345451910445e+17,1.208045947889484e-10
28,2.7922502873527153e+27,194880000.0,14508613.538346777,90.0616267417402,4.823017104054204e+28,0.732,1.4456222332812887,0.0,1.7937049032152714e+17,1.2079916221752077e-10
29,3.1022129659090675e+27,201840000.0,14508514.513472168,90.06069801064784,5.358263620866461e+28,0.732,1.4456364289756807,0.0,1.7936741638664595e+17,1.2079365601109145e-10
30,3.4343033054508346e+27,208800000.0,14508408.418858511,90.0597580550571,5.9316934976572e+28,0.732,1.4456522779563201,0.0,1.7936423272052576e+17,1.20787830915266e-10
31,3.78928384181882e+27,215760000.0,14508302.323531087,90.0587629954713,6.544618784991368e+28,0.732,1.4456674876294984,0.0,1.7936093932790083e+17,1.2078193223646067e-10
32,4.1679170609639876e+27,222720000.0,14508189.15913367,90.05775670985777,7.198351063232701e+28,0.732,1.4456843505144237,0.0,1.7935753621527728e+17,1.2077571478380852e-10
33,4.570965397271806e+27,229680000.0,14508075.993939286,90.05669532376702,7.894201426835447e+28,0.732,1.445700574160822,0.0,1.7935402338772387e+17,1.2076942380382736e-10
34,4.999191231865825e+27,236640000.0,14507955.760389406,90.05562271002204,8.633480468749045e+28,0.732,1.4457184509391765,0.0,1.7935040085218794e+17,1.2076281417327595e-10
35,5.453356890934225e+27,243600000.0,14507835.525954891,90.05449499955208,9.41749826471877e+28,0.732,1.4457356885521748,0.0,1.793466686140727e+17,1.207561310746704e-10
36,5.934224644031318e+27,250560000.0,14507708.223924806,90.05335605970426,1.0247564357721164e+29,0.732,1.4457545792120503,0.0,1.7934282668076662e+17,1.2074912945648937e-10
37,6.442556702406592e+27,257520000.0,14507580.920917956,90.05216202711809,1.11249877422735e+29,0.732,1.4457728307839761,0.0,1.793388750580073e+17,1.2074205443314798e-10
38,6.979115217303845e+27,264480000.0,14507446.551120868,90.05095676333352,1.2051076848902532e+29,0.732,1.4457927353124136,0.0,1.793348137536243e+17,1.2073466102893475e-10
39,7.54466227829303e+27,271440000.0,14507312.180250423,90.0496964110316,1.3027139528462577e+29,0.732,1.445812000834544,0.0,1.793306427736896e+17,1.2072719428606855e-10
40,8.139959911566747e+27,278400000.0,14507170.743440455,90.04842482561395,1.4054483036640263e+29,0.732,1.4458329192175383,0.0,1.7932636212647376e+17,1.2071940930873243e-10
41,8.765770078275188e+27,285360000.0,14507029.305456081,90.04709815613435,1.5134414018280928e+29,0.732,1.4458531986801026,0.0,1.793219718183831e+17,1.2071155106285876e-10
42,9.422854672819681e+27,292320000.0,14506880.802428264,90.04576025152492,1.6268238491932113e+29,0.732,1.4458751309025986,0.0,1.7931747185812902e+17,1.207033747366047e-10
43,1.0111975521191078e+28,299280000.0,14506732.298120532,90.04436726754341,1.7457261834177922e+29,0.732,1.4458964242947796,0.0,1.7931286225245222e+17,1.2069512521553052e-10
44,1.0833894379260023e+28,306240000.0,14506576.72971078,90.04296304632152,1.870278876422406e+29,0.732,1.4459193703406807,0.0,1.793081430105049e+17,1.2068655777584219e-10
45,1.1589372931119123e+28,313200000.0,14506421.159911143,90.04150375065171,2.0006123328239697e+29,0.732,1.4459416776506173,0.0,1.7930331413936195e+17,1.2067791721864645e-10
46,1.2379172787369612e+28,320160000.0,14506258.52699623,90.04003321553459,2.1368568883986966e+29,0.732,1.4459656375027832,0.0,1.7929837564861635e+17,1.206689589122676e-10
47,1.320405548346767e+28,327120000.0,14506095.892577006,90.03850761112817,2.2791428085169798e+29,0.732,1.445988958717571,0.0,1.7929332754567725e+17,1.2065992756928298e-10
48,1.4064782478007118e+28,334080000.0,14505926.196074545,90.03697076497134,2.427600286611082e+29,0.732,1.446013932357824,0.0,1.7928816984057814e+17,1.2065057865419867e-10
49,1.496211515107028e+28,341040000.0,14505756.497948889,90.03537885491815,2.5823594426106568e+29,0.732,1.4460382674635182,0.0,1.7928290254106243e+17,1.2064115678699218e-10
50,1.589681480250633e+28,348000000.0,14505579.738817306,90.03377570071542,2.7435503214154823e+29,0.732,1.4460642548726401,0.0,1.792775256576041e+17,1.2063141753240884e-10
51,1.686964265028708e+28,354960000.0,14505402.977939187,90.0321174882437,2.9113028913315494e+29,0.732,1.4460896038542606,0.0,1.7927203919828067e+17,1.2062160541376167e-10
