,Mass,Radius,Temperature,Density,Luminosity,Hydrogen,Opacity,Convection,Pressure,Velocity
0,0.0,0.0,14510000.0,90.07385768999998,0.0,0.732,1.4454145397146498,1.0,1.7941199318911686e+17,1.2087525152161382e-10
1,1.990588177082074e+30,1744864364.2059515,14399661.746673148,89.0411272214507,3.3371004076739187e+31,0.732,1.4614104275011954,0.0,1.7600630911694986e+17,1.149242748630336e-10
2,3.981176354164148e+30,2201407875.1204567,14335128.975753061,88.43050858009016,6.557974983988726e+31,0.732,1.4708341772541214,0.0,1.7401593675662922e+17,1.1159967289756319e-10
3,5.971764531246221e+30,2522901578.1484833,14281156.838225713,87.91717914949545,9.694219597328548e+31,0.732,1.4787668769989444,0.0,1.7235442210021427e+17,1.0890328970926786e-10
4,7.962352708328296e+30,2779700949.453441,14233096.785970684,87.45819657941925,1.2759194378648476e+32,0.732,1.4858712317095242,0.0,1.7087763212689648e+17,1.0656402118300899e-10
5,9.95294088541037e+30,2997219579.314231,14189017.714395558,87.03574383545366,1.576124985804792e+32,0.732,1.4924214173308121,0.0,1.6952559343731546e+17,1.0446774173062694e-10
6,1.1943529062492443e+31,3187899627.564587,14147879.82360575,86.64025235325073,1.870634880095608e+32,0.732,1.498564745777379,0.0,1.6826599828166698e+17,1.0255237979105763e-10
7,1.3934117239574517e+31,3358861901.355096,14109046.687016793,86.2658265336467,2.1599029388510027e+32,0.732,1.504390495575835,0.0,1.670789571758366e+17,1.0077951155931745e-10
8,1.5924705416656592e+31,3514630165.0644846,14072085.096655741,85.90851688023128,2.4442985800696073e+32,0.732,1.5099600649978135,0.0,1.659510367347049e+17,9.912290768126547e-11
9,1.7915293593738666e+31,3658250372.6363964,14036689.217035819,85.56553316537429,2.724120775705224e+32,0.732,1.5153166496714325,0.0,1.6487273535008877e+17,9.756392374359543e-11
10,1.990588177082074e+31,3791911018.7075872,14002632.622660777,85.23475770871718,2.9996301701688132e+32,0.732,1.5204913764045573,0.0,1.638369003223099e+17,9.608854709745966e-11
11,2.1896469947902813e+31,3917221280.6381774,13969738.46813003,84.9146017213233,3.271046583003249e+32,0.732,1.525509412261906,0.0,1.6283807131208118e+17,9.46859280321017e-11
12,2.3887058124984885e+31,4035414917.7020907,13937867.620853713,84.603796255314,3.5385647374194004e+32,0.732,1.5303902326179768,0.0,1.6187190717118928e+17,9.33474445761983e-11
13,2.587764630206696e+31,4147458412.540559,13906909.308867948,84.3013059038855,3.80235758338216e+32,0.732,1.5351489236233644,0.0,1.6093489518786515e+17,9.206613891932827e-11
14,2.7868234479149034e+31,4254121056.0536246,13876771.937720047,84.00629013744,4.062577661286997e+32,0.732,1.5397981506854137,0.0,1.600241594640888e+17,9.083627309159586e-11
15,2.985882265623111e+31,4356033897.754672,13847375.265293749,83.71805766326776,4.319366356704483e+32,0.732,1.544349663519031,0.0,1.5913726973714288e+17,8.96529199522333e-11
16,3.1849410833313183e+31,4453713525.111261,13818656.81237694,83.43600173203643,4.572848877280352e+32,0.732,1.5488115505339304,0.0,1.5827219030702346e+17,8.85120528512146e-11
17,3.3839999010395256e+31,4547592211.896158,13790560.874448922,83.15961677195222,4.823139630475555e+32,0.732,1.553191538233382,0.0,1.5742717723393373e+17,8.741016316678882e-11
18,3.5830587187477333e+31,4638040007.169569,13763037.093969505,82.88846834203815,5.070347792604855e+32,0.732,1.5574969489562576,0.0,1.5660069836960662e+17,8.634413323935462e-11
